id_agente,nombre,apellido,documento,cargo,telefono,email,fecha_ingreso,estado_agente,id_equipo,id_departamento
41,Maria,Rodriguez Sanchez,44584115,asesor_comercial,33404376,agente41@empresa.com,2024-08-18,vacaciones,10,4
42,Carolina,Ramirez Jimenez,70600467,asesor_servicio,32322465,agente42@empresa.com,2025-09-04,inactivo,5,2
43,Manuela,Bedoya Bedoya,73807102,asesor_comercial,35668600,agente43@empresa.com,2023-09-24,activo,10,4
44,David,Jimenez Torres,14364161,asesor_servicio,32618458,agente44@empresa.com,2022-11-20,vacaciones,4,2
45,Natalia,Perez Ramirez,39221880,asesor_servicio,31574377,agente45@empresa.com,2025-09-22,vacaciones,4,2
46,Paula,Cardona Morales,75347602,asesor_servicio,38002028,agente46@empresa.com,2024-11-15,inactivo,5,2
47,Luisa,Sanchez Cardona,71981524,asesor_servicio,34959059,agente47@empresa.com,2021-11-19,activo,2,1
48,Kevin,Hernandez Bedoya,39597941,asesor_comercial,38710689,agente48@empresa.com,2023-12-31,activo,10,4
49,Jorge,Giraldo Molina,34259553,asesor_servicio,38816255,agente49@empresa.com,2025-04-19,activo,1,1
50,Santiago,Lopez Giraldo,83854202,asesor_comercial,35945598,agente50@empresa.com,2022-02-04,activo,10,4
51,Diana,Agudelo Arango,94686004,asesor_servicio,31807748,agente51@empresa.com,2025-08-05,inactivo,11,5
52,Felipe,Castro Jimenez,64644691,asesor_servicio,38575755,agente52@empresa.com,2021-12-26,vacaciones,5,2
53,Tatiana,Ramirez Morales,29236530,asesor_servicio,36354206,agente53@empresa.com,2025-01-06,activo,3,1
54,Jose,Torres Morales,46505631,asesor_comercial,37549778,agente54@empresa.com,2022-12-20,activo,9,4
55,Felipe,Quintero Morales,22563730,asesor_servicio,37172368,agente55@empresa.com,2022-12-22,activo,5,2
56,Jose,Morales Ramirez,73276400,asesor_comercial,32559396,agente56@empresa.com,2026-04-07,inactivo,9,4
57,Carolina,Lopez Diaz,90448075,asesor_servicio,31489127,agente57@empresa.com,2024-02-10,activo,12,5
58,Diana,Diaz Mejia,40712724,asesor_comercial,33221320,agente58@empresa.com,2025-04-28,inactivo,9,4
59,Diana,Sanchez Ramirez,52123187,asesor_comercial,39295832,agente59@empresa.com,2021-10-10,activo,8,3
60,Sofia,Rojas Bedoya,25398568,asesor_comercial,39116618,agente60@empresa.com,2025-05-25,activo,9,4
61,Maria,Cardona Lopez,88344521,asesor_servicio,32027430,agente61@empresa.com,2023-11-06,activo,6,2
62,Jorge,Rodriguez Rojas,42027887,asesor_servicio,35098837,agente62@empresa.com,2023-11-10,inactivo,3,1
63,Julian,Castaño Martinez,77081974,asesor_servicio,36593769,agente63@empresa.com,2024-01-22,activo,11,5
64,Julian,Restrepo Garcia,27011645,asesor_servicio,33419679,agente64@empresa.com,2026-02-14,activo,4,2
65,Carlos,Castaño Gomez,14303120,asesor_comercial,31921606,agente65@empresa.com,2022-04-25,activo,10,4
66,Paola,Lopez Giraldo,10381516,asesor_comercial,36792867,agente66@empresa.com,2025-02-02,activo,7,3
67,Sofia,Castaño Gomez,83610852,asesor_comercial,33693155,agente67@empresa.com,2023-10-07,inactivo,7,3
68,Paula,Bedoya Gomez,58869508,asesor_servicio,34390743,agente68@empresa.com,2024-10-13,vacaciones,3,1
69,Juan,Molina Torres,60886382,asesor_servicio,37824261,agente69@empresa.com,2023-11-20,activo,12,5
70,Diana,Rodriguez Vargas,59132933,asesor_servicio,33436435,agente70@empresa.com,2025-10-06,activo,4,2
71,Yuliana,Rodriguez Molina,55164367,asesor_servicio,36198112,agente71@empresa.com,2023-06-23,activo,6,2
72,Sebastian,Agudelo Rojas,66260188,asesor_servicio,34356472,agente72@empresa.com,2023-03-09,activo,1,1
73,Daniel,Giraldo Castaño,48091245,asesor_servicio,31801842,agente73@empresa.com,2022-11-07,activo,6,2
74,Sebastian,Lopez Diaz,89573498,asesor_comercial,38408939,agente74@empresa.com,2023-12-13,activo,8,3
75,Santiago,Cardona Vargas,72937695,asesor_servicio,39334055,agente75@empresa.com,2023-08-22,inactivo,12,5
76,Sara,Vargas Restrepo,46564709,asesor_servicio,38319162,agente76@empresa.com,2022-07-23,activo,5,2
77,Tatiana,Rojas Ortiz,74312589,asesor_servicio,36141235,agente77@empresa.com,2024-06-25,vacaciones,4,2
78,Laura,Bedoya Torres,18482336,asesor_servicio,36205440,agente78@empresa.com,2024-11-14,activo,2,1
79,Luisa,Rodriguez Gomez,50695662,asesor_comercial,32433507,agente79@empresa.com,2023-09-21,inactivo,7,3
80,Catalina,Hernandez Diaz,47999188,asesor_servicio,35796021,agente80@empresa.com,2024-06-01,activo,2,1
81,Nicolas,Agudelo Rojas,20095212,asesor_comercial,39670072,agente81@empresa.com,2025-12-25,vacaciones,8,3
82,Valentina,Morales Quintero,57746107,asesor_servicio,35305422,agente82@empresa.com,2024-04-08,activo,6,2
83,Felipe,Vargas Restrepo,41910787,asesor_comercial,37135599,agente83@empresa.com,2023-01-10,inactivo,7,3
84,Julian,Quintero Martinez,77034040,asesor_comercial,37481482,agente84@empresa.com,2022-01-30,activo,7,3
85,Camilo,Ramirez Mejia,56311205,asesor_servicio,39460826,agente85@empresa.com,2026-01-17,activo,1,1
86,Santiago,Restrepo Molina,53180485,asesor_comercial,37413261,agente86@empresa.com,2023-03-19,activo,9,4
87,Carolina,Agudelo Arango,28499933,asesor_servicio,35869138,agente87@empresa.com,2022-05-18,activo,2,1
88,Alejandra,Quintero Hernandez,87082974,asesor_comercial,32711344,agente88@empresa.com,2023-09-10,activo,8,3
89,Maria,Torres Martinez,65209236,asesor_servicio,34819177,agente89@empresa.com,2024-09-04,activo,2,1
90,Natalia,Rojas Torres,84465081,asesor_servicio,38603407,agente90@empresa.com,2022-08-21,activo,12,5
91,Yuliana,Vargas Morales,31524011,asesor_servicio,39978121,agente91@empresa.com,2024-11-07,activo,2,1
92,Nicolas,Vargas Castro,57463186,asesor_servicio,38714876,agente92@empresa.com,2022-10-08,activo,1,1
93,Yuliana,Giraldo Jimenez,65386001,asesor_servicio,36070289,agente93@empresa.com,2024-06-14,activo,5,2
94,Jose,Ramirez Hernandez,33997948,asesor_servicio,39169011,agente94@empresa.com,2024-10-09,inactivo,2,1
95,Catalina,Castaño Vargas,65747517,asesor_servicio,35067111,agente95@empresa.com,2025-11-13,vacaciones,3,1
96,Ana,Morales Giraldo,52384724,asesor_comercial,34977948,agente96@empresa.com,2024-05-15,activo,7,3
97,Tatiana,Torres Mejia,13819690,asesor_servicio,34698946,agente97@empresa.com,2024-06-19,inactivo,11,5
98,Sofia,Rojas Perez,16255892,asesor_servicio,39871192,agente98@empresa.com,2022-06-26,activo,5,2
99,Daniel,Torres Castro,56909266,asesor_servicio,35209707,agente99@empresa.com,2023-12-07,activo,3,1
100,Valentina,Ramirez Vargas,43051943,asesor_servicio,38715348,agente100@empresa.com,2022-09-27,inactivo,4,2
101,Diana,Castaño Castro,66914435,asesor_comercial,38289516,agente101@empresa.com,2025-02-14,activo,8,3
102,Andrea,Sanchez Perez,55405250,asesor_comercial,32396206,agente102@empresa.com,2022-04-23,activo,10,4
103,Sara,Lopez Castaño,60470127,asesor_servicio,36142412,agente103@empresa.com,2025-05-21,vacaciones,5,2
104,Luisa,Ramirez Lopez,95792140,asesor_servicio,32092531,agente104@empresa.com,2025-09-24,vacaciones,12,5
105,Kevin,Castaño Rojas,53236593,asesor_servicio,31453973,agente105@empresa.com,2022-02-21,activo,11,5
106,Sofia,Gomez Gomez,61499882,asesor_comercial,37021253,agente106@empresa.com,2025-10-11,activo,7,3
107,Andres,Perez Garcia,96088183,asesor_servicio,32918575,agente107@empresa.com,2025-03-06,activo,6,2
108,Ana,Arango Morales,46363407,asesor_comercial,33720353,agente108@empresa.com,2022-04-26,activo,10,4
109,Sebastian,Molina Gomez,32350218,asesor_comercial,34866261,agente109@empresa.com,2024-07-22,activo,10,4
110,Catalina,Restrepo Vargas,64574781,asesor_comercial,38981728,agente110@empresa.com,2024-12-26,activo,7,3
111,Sara,Molina Lopez,46925541,asesor_servicio,38853864,agente111@empresa.com,2024-11-15,activo,12,5
112,Catalina,Jimenez Perez,51379145,asesor_servicio,34576782,agente112@empresa.com,2025-05-01,activo,6,2
113,Jorge,Giraldo Garcia,70433086,asesor_comercial,36185141,agente113@empresa.com,2022-12-26,inactivo,9,4
114,Tatiana,Osorio Osorio,52666293,asesor_comercial,33347685,agente114@empresa.com,2022-01-18,vacaciones,8,3
115,Luis,Hernandez Bedoya,82713448,asesor_servicio,39876302,agente115@empresa.com,2026-01-19,activo,4,2
116,Mateo,Morales Diaz,53457494,asesor_servicio,36789997,agente116@empresa.com,2025-12-07,activo,5,2
117,Carolina,Torres Lopez,95715376,asesor_servicio,39958354,agente117@empresa.com,2025-05-17,inactivo,4,2
118,Catalina,Rodriguez Restrepo,83568794,asesor_comercial,38627651,agente118@empresa.com,2023-04-24,activo,8,3
119,Andres,Restrepo Mejia,22989398,asesor_comercial,37668917,agente119@empresa.com,2024-05-29,activo,9,4
120,David,Garcia Lopez,22940878,asesor_comercial,39246342,agente120@empresa.com,2023-10-31,activo,9,4
121,Camilo,Morales Sanchez,33182077,asesor_servicio,38337699,agente121@empresa.com,2022-09-04,inactivo,5,2
122,Laura,Morales Morales,74489288,asesor_servicio,39073252,agente122@empresa.com,2025-07-05,activo,1,1
123,Maria,Hernandez Rodriguez,64176782,asesor_comercial,39102513,agente123@empresa.com,2024-08-20,activo,8,3
124,Felipe,Sanchez Mejia,60749016,asesor_servicio,37883518,agente124@empresa.com,2023-02-04,activo,6,2
125,Kevin,Restrepo Rojas,23034820,asesor_servicio,37983215,agente125@empresa.com,2025-05-06,activo,3,1
126,Kevin,Restrepo Castaño,70587717,asesor_servicio,38620140,agente126@empresa.com,2022-12-08,activo,11,5
127,Valentina,Ramirez Perez,11272466,asesor_servicio,35728796,agente127@empresa.com,2022-11-30,inactivo,4,2
128,Paula,Molina Ramirez,27659306,asesor_servicio,35244761,agente128@empresa.com,2025-02-25,activo,2,1
129,Valentina,Torres Restrepo,27509069,asesor_servicio,32097342,agente129@empresa.com,2022-09-19,activo,1,1
130,Carolina,Giraldo Morales,75952628,asesor_servicio,32754276,agente130@empresa.com,2021-11-16,vacaciones,3,1
131,Alejandra,Agudelo Molina,11203062,asesor_servicio,33992898,agente131@empresa.com,2021-11-10,activo,3,1
132,Andrea,Mejia Torres,53916758,asesor_servicio,38396015,agente132@empresa.com,2024-06-07,vacaciones,2,1
133,Sebastian,Morales Giraldo,29834198,asesor_servicio,35342033,agente133@empresa.com,2021-12-10,activo,2,1
134,Camilo,Bedoya Vargas,64757191,asesor_servicio,35056693,agente134@empresa.com,2022-03-19,inactivo,6,2
135,Sara,Diaz Restrepo,76007062,asesor_servicio,34010962,agente135@empresa.com,2024-08-08,activo,11,5
136,Carolina,Giraldo Agudelo,56424103,asesor_comercial,37476439,agente136@empresa.com,2023-03-24,vacaciones,9,4
137,Felipe,Ramirez Arango,72634953,asesor_servicio,38946666,agente137@empresa.com,2025-08-24,activo,12,5
138,Felipe,Osorio Jimenez,65825998,asesor_comercial,38837848,agente138@empresa.com,2024-08-08,activo,10,4
139,Carolina,Arango Lopez,75121412,asesor_comercial,33213667,agente139@empresa.com,2024-01-03,vacaciones,8,3
140,Julian,Cardona Gomez,24462706,asesor_comercial,39397621,agente140@empresa.com,2025-07-08,activo,7,3
141,Paula,Gomez Bedoya,21066614,asesor_comercial,37795926,agente141@empresa.com,2026-01-25,activo,10,4
142,Kevin,Vargas Castro,95754682,asesor_servicio,31063286,agente142@empresa.com,2021-12-17,activo,1,1
143,Paola,Molina Castro,46523933,asesor_servicio,33082919,agente143@empresa.com,2024-06-02,activo,6,2
144,Camilo,Jimenez Ortiz,81034832,asesor_servicio,38492377,agente144@empresa.com,2023-08-01,activo,12,5
145,Carlos,Agudelo Torres,93278635,asesor_servicio,33187431,agente145@empresa.com,2021-09-05,vacaciones,2,1
146,Carolina,Sanchez Arango,86816004,asesor_servicio,32261264,agente146@empresa.com,2022-04-02,activo,1,1
147,Carlos,Cardona Arango,99118964,asesor_servicio,32869376,agente147@empresa.com,2023-05-21,activo,11,5
148,Yuliana,Quintero Quintero,78596087,asesor_servicio,38357530,agente148@empresa.com,2024-04-11,activo,3,1
149,Laura,Vargas Castro,30691161,asesor_comercial,38213877,agente149@empresa.com,2025-03-05,activo,7,3
150,Sebastian,Arango Lopez,27129271,asesor_servicio,33007849,agente150@empresa.com,2021-11-03,inactivo,1,1
151,Sofia,Giraldo Morales,32486397,asesor_servicio,35850380,agente151@empresa.com,2022-05-29,inactivo,5,2
152,Carolina,Lopez Torres,61337400,asesor_servicio,34856724,agente152@empresa.com,2025-11-30,activo,3,1
153,Carlos,Vargas Garcia,27954434,asesor_comercial,31945977,agente153@empresa.com,2024-04-12,activo,8,3
154,Tatiana,Garcia Castro,59325676,asesor_comercial,34259557,agente154@empresa.com,2025-09-14,activo,7,3
155,Carlos,Vargas Vargas,30834949,asesor_servicio,37971920,agente155@empresa.com,2023-06-22,inactivo,12,5
156,Kevin,Agudelo Jimenez,16898524,asesor_comercial,35083352,agente156@empresa.com,2023-08-14,activo,7,3
157,David,Sanchez Rodriguez,10361134,asesor_comercial,35218862,agente157@empresa.com,2023-04-17,activo,8,3
158,Jorge,Molina Morales,19880227,asesor_servicio,39086179,agente158@empresa.com,2023-02-04,activo,3,1
159,Natalia,Ramirez Molina,68145235,asesor_servicio,33444523,agente159@empresa.com,2022-08-07,activo,2,1
160,Kevin,Ortiz Garcia,63683902,asesor_servicio,36155724,agente160@empresa.com,2022-01-13,activo,5,2
161,Sofia,Sanchez Restrepo,78105645,asesor_comercial,36162290,agente161@empresa.com,2023-01-29,inactivo,7,3
162,Paola,Giraldo Hernandez,36739309,asesor_servicio,35757898,agente162@empresa.com,2024-05-28,activo,12,5
163,Alejandra,Gomez Giraldo,18353976,asesor_comercial,32597804,agente163@empresa.com,2022-08-07,activo,7,3
164,Maria,Diaz Sanchez,30835408,asesor_servicio,38408945,agente164@empresa.com,2021-10-20,activo,4,2
165,Yuliana,Castaño Lopez,57868493,asesor_servicio,37811960,agente165@empresa.com,2022-11-16,inactivo,12,5
166,Paola,Ramirez Ramirez,58918018,asesor_servicio,37393847,agente166@empresa.com,2021-11-28,activo,6,2
167,Yuliana,Arango Osorio,44513868,asesor_servicio,35992639,agente167@empresa.com,2025-03-01,inactivo,11,5
168,Jorge,Agudelo Castaño,32570214,asesor_comercial,36511026,agente168@empresa.com,2022-02-15,inactivo,7,3
169,Camilo,Castro Quintero,61464527,asesor_servicio,37702186,agente169@empresa.com,2024-10-30,vacaciones,12,5
170,Juan,Arango Torres,93941677,asesor_servicio,38257840,agente170@empresa.com,2022-10-22,activo,3,1
171,Maria,Osorio Morales,60597972,asesor_servicio,36068169,agente171@empresa.com,2022-07-02,activo,4,2
172,Manuela,Agudelo Rojas,18919193,asesor_servicio,32655532,agente172@empresa.com,2025-04-13,vacaciones,1,1
173,Kevin,Ortiz Rodriguez,47991189,asesor_servicio,31418940,agente173@empresa.com,2022-03-20,activo,5,2
174,Maria,Morales Rojas,76757307,asesor_servicio,35917571,agente174@empresa.com,2021-11-17,vacaciones,4,2
175,Maria,Restrepo Castro,30491002,asesor_servicio,34208511,agente175@empresa.com,2025-06-08,activo,1,1
176,Felipe,Diaz Rodriguez,70391634,asesor_servicio,31673558,agente176@empresa.com,2024-07-23,activo,5,2
177,Sofia,Perez Morales,54931796,asesor_servicio,32437209,agente177@empresa.com,2023-07-19,vacaciones,12,5
178,Alejandra,Giraldo Garcia,94998026,asesor_comercial,35076560,agente178@empresa.com,2025-05-08,activo,10,4
179,Sebastian,Castaño Molina,40639877,asesor_servicio,33483348,agente179@empresa.com,2024-12-15,activo,4,2
180,Sofia,Hernandez Castaño,52628567,asesor_servicio,33468059,agente180@empresa.com,2025-12-07,activo,6,2
