id_cliente,tipo_documento,numero_documento,nombre,apellido,direccion,ciudad,telefono,email,fecha_registro,estado_cliente
52,CC,81756283,Miguel,Morales Quintero,Calle 74 #64-7,Armenia,3853378973,miguel.moralesquintero766@correo.com,2025-04-17,activo
53,CC,12043299,Jose,Gomez Molina,Calle 117 #37-46,Pereira,3358454818,jose.gomezmolina586@correo.com,2023-11-18,activo
54,CC,34967607,Jorge,Diaz Ortiz,Calle 78 #9-102,Medellin,3603274968,jorge.diazortiz918@correo.com,2024-03-29,activo
55,NIT,37347252,Mateo,Martinez Agudelo,Calle 15 #2-63,Cali,3281631577,,2024-09-22,activo
56,CC,31252253,David,Giraldo Giraldo,Calle 105 #97-62,Barranquilla,3399769901,david.giraldogiraldo431@correo.com,2024-09-18,activo
57,TI,24582879,Maria,Morales Arango,Calle 63 #36-116,Bogota,3290116138,,2025-06-16,inactivo
58,CC,41627432,Kevin,Quintero Rojas,Calle 22 #82-53,Bogota,3445557013,kevin.quinterorojas37@correo.com,2025-05-18,activo
59,CC,89389028,Tatiana,Diaz Gomez,Calle 78 #55-100,Bucaramanga,3519353648,tatiana.diazgomez666@correo.com,2023-11-09,inactivo
60,CC,70992796,Diana,Jimenez Garcia,Calle 106 #36-88,Cartagena,3415894234,diana.jimenezgarcia656@correo.com,2026-03-02,activo
61,CC,90820193,Mateo,Molina Morales,Calle 3 #113-47,Barranquilla,3776704214,mateo.molinamorales125@correo.com,2026-02-03,activo
62,CC,32004399,Juan,Sanchez Torres,Calle 23 #51-48,Bogota,3026138212,juan.sancheztorres476@correo.com,2024-09-09,activo
63,TI,17006985,Mateo,Mejia Rodriguez,Calle 70 #101-34,Pasto,3847589618,mateo.mejiarodriguez941@correo.com,2023-07-25,activo
64,CC,27819891,Maria,Quintero Hernandez,Calle 119 #108-13,Bogota,3626708137,maria.quinterohernandez622@correo.com,2025-08-26,activo
65,CC,32880626,Carolina,Quintero Martinez,Calle 1 #13-119,Bogota,3280030172,carolina.quinteromartinez559@correo.com,2024-08-16,activo
66,CC,96676306,Juan,Giraldo Cardona,Calle 1 #103-56,Barranquilla,3201891647,juan.giraldocardona404@correo.com,2026-04-16,activo
67,CC,82092880,Felipe,Ramirez Rojas,Calle 18 #66-24,Cali,3002271840,felipe.ramirezrojas714@correo.com,2025-02-13,activo
68,CC,36132392,Andres,Gomez Vargas,Calle 12 #12-54,Bogota,3636646758,andres.gomezvargas996@correo.com,2024-09-04,activo
69,CC,29265574,Yuliana,Garcia Osorio,Calle 32 #59-36,Pasto,3344760880,yuliana.garciaosorio42@correo.com,2025-09-01,activo
70,CC,66518656,Paula,Martinez Osorio,Calle 108 #90-95,Manizales,3232507359,paula.martinezosorio903@correo.com,2024-07-30,inactivo
71,CC,67812292,Miguel,Molina Martinez,Calle 38 #4-23,Bogota,3184170928,miguel.molinamartinez782@correo.com,2024-09-24,activo
72,CC,65926861,Laura,Lopez Sanchez,Calle 18 #62-50,Medellin,3733715797,laura.lopezsanchez645@correo.com,2025-12-17,activo
73,CC,13646468,Luisa,Bedoya Torres,Calle 21 #17-32,Medellin,3547684020,luisa.bedoyatorres998@correo.com,2024-07-03,activo
74,CC,35741713,Felipe,Castro Martinez,Calle 50 #1-65,Cartagena,3580078797,felipe.castromartinez231@correo.com,2025-02-28,activo
75,CC,31005019,Andres,Rodriguez Vargas,Calle 50 #16-84,Manizales,3976611883,andres.rodriguezvargas107@correo.com,2023-07-17,activo
76,CC,33759991,Diana,Sanchez Diaz,Calle 116 #25-79,Barranquilla,3046144175,diana.sanchezdiaz150@correo.com,2024-01-15,activo
77,CC,63085687,Kevin,Rojas Gomez,Calle 47 #7-46,Medellin,3152520897,kevin.rojasgomez956@correo.com,2025-09-08,inactivo
78,CC,87749931,Felipe,Rodriguez Gomez,Calle 60 #23-88,Manizales,3147210684,felipe.rodriguezgomez687@correo.com,2025-11-11,activo
79,CC,94937762,Yuliana,Bedoya Rojas,Calle 117 #47-13,Cali,3930994077,yuliana.bedoyarojas776@correo.com,2024-10-05,activo
80,CC,42159462,Maria,Gomez Cardona,Calle 90 #73-49,Barranquilla,3851275715,maria.gomezcardona429@correo.com,2025-01-15,activo
81,CC,31747807,Felipe,Agudelo Rodriguez,Calle 102 #3-89,Manizales,3646517617,felipe.agudelorodriguez42@correo.com,2025-06-20,activo
82,NIT,57495431,Paula,Rojas Castro,Calle 87 #49-43,Villavicencio,3879919437,paula.rojascastro397@correo.com,2024-07-23,activo
83,CC,34976506,Maria,Molina Rodriguez,Calle 80 #50-67,Medellin,3753058291,,2024-06-01,suspendido
84,CC,61716673,Yuliana,Cardona Perez,Calle 112 #36-98,Cali,3235280209,yuliana.cardonaperez21@correo.com,2026-05-24,activo
85,NIT,79532399,Catalina,Jimenez Gomez,Calle 81 #75-12,Bogota,3610350636,catalina.jimenezgomez536@correo.com,2023-11-19,activo
86,CC,58589140,Natalia,Martinez Jimenez,Calle 65 #17-67,Medellin,3842705127,natalia.martinezjimenez95@correo.com,2024-07-20,activo
87,NIT,31346231,Natalia,Molina Hernandez,Calle 31 #107-104,Medellin,3930030724,natalia.molinahernandez179@correo.com,2024-09-09,activo
88,CC,31712298,Tatiana,Garcia Agudelo,Calle 65 #21-85,Ibague,3798879386,tatiana.garciaagudelo879@correo.com,2025-12-10,activo
89,CC,54446804,Sara,Morales Hernandez,Calle 83 #14-81,Manizales,3995929379,sara.moraleshernandez180@correo.com,2025-09-21,activo
90,NIT,64205290,Sara,Ramirez Arango,Calle 1 #111-14,Barranquilla,3365764112,sara.ramirezarango374@correo.com,2023-09-05,activo
91,NIT,52648248,Paola,Perez Giraldo,Calle 115 #70-109,Bogota,3179053835,,2023-08-26,activo
92,CE,95927567,Carolina,Rojas Gomez,Calle 10 #21-105,Bogota,3247386911,,2023-07-15,activo
93,CC,40081745,Isabella,Quintero Rojas,Calle 78 #91-109,Bogota,3176249562,isabella.quinterorojas215@correo.com,2024-08-01,activo
94,CC,88619943,Natalia,Cardona Quintero,Calle 48 #24-34,Pasto,3975566327,natalia.cardonaquintero935@correo.com,2026-02-16,activo
95,NIT,31109130,Luis,Ortiz Osorio,Calle 23 #119-29,Barranquilla,3765621942,luis.ortizosorio228@correo.com,2025-08-04,activo
96,CC,68970814,Maria,Ortiz Castano,Calle 28 #71-118,Bogota,3817876470,maria.ortizcastano819@correo.com,2024-03-11,activo
97,CC,63259482,Luis,Ramirez Giraldo,Calle 60 #84-45,Cartagena,3922752276,luis.ramirezgiraldo407@correo.com,2026-04-16,activo
98,CC,47134520,Diana,Diaz Arango,Calle 112 #72-72,Bogota,3532770861,diana.diazarango598@correo.com,2025-07-18,activo
99,CC,56833222,Jorge,Vargas Castano,Calle 54 #20-7,Medellin,3955464492,jorge.vargascastano638@correo.com,2023-06-21,activo
100,CC,87053392,Mateo,Rojas Ortiz,Calle 110 #51-74,Cali,3102636253,mateo.rojasortiz211@correo.com,2023-09-01,activo
101,CC,44301766,Catalina,Jimenez Morales,Calle 107 #81-92,Bogota,3683027440,catalina.jimenezmorales627@correo.com,2026-03-13,activo
102,CC,35459594,Luis,Ortiz Arango,Calle 3 #6-101,Cucuta,3735731698,luis.ortizarango554@correo.com,2024-06-22,activo
103,CC,22003869,Valentina,Osorio Mejia,Calle 94 #86-97,Cartagena,3810816511,valentina.osoriomejia345@correo.com,2025-01-19,suspendido
104,CC,75865897,Luis,Rodriguez Vargas,Calle 85 #96-15,Cali,3276424449,luis.rodriguezvargas257@correo.com,2024-08-09,activo
105,TI,70329517,Jose,Rojas Ortiz,Calle 90 #56-21,Cucuta,3185432348,,2024-11-08,activo
106,CE,29611143,Natalia,Garcia Lopez,Calle 45 #72-100,Medellin,3091833709,natalia.garcialopez336@correo.com,2025-07-28,activo
107,CC,92854634,Catalina,Vargas Gomez,Calle 44 #33-88,Pereira,3088703543,catalina.vargasgomez762@correo.com,2024-01-28,activo
108,CC,97202550,Tatiana,Osorio Perez,Calle 71 #111-38,Cali,3374922369,tatiana.osorioperez99@correo.com,2024-05-21,activo
109,CC,72564758,Andres,Lopez Restrepo,Calle 102 #112-92,Cali,3794165112,andres.lopezrestrepo747@correo.com,2025-02-26,activo
110,CC,57235988,Sebastian,Mejia Giraldo,Calle 50 #28-87,Medellin,3916698883,sebastian.mejiagiraldo143@correo.com,2024-09-23,inactivo
111,CC,75953037,Felipe,Martinez Osorio,Calle 62 #64-72,Cartagena,3011095187,felipe.martinezosorio473@correo.com,2025-07-13,activo
112,NIT,34582668,Paula,Quintero Garcia,Calle 55 #66-14,Bogota,3736882067,paula.quinterogarcia277@correo.com,2025-02-03,inactivo
113,CC,66960832,Valentina,Agudelo Ramirez,Calle 38 #82-3,Medellin,3616739171,valentina.agudeloramirez996@correo.com,2024-02-11,activo
114,CC,65939051,David,Gomez Quintero,Calle 21 #54-64,Medellin,3417585772,david.gomezquintero223@correo.com,2024-12-02,activo
115,CC,88386810,Luis,Sanchez Vargas,Calle 112 #111-29,Medellin,3414900075,luis.sanchezvargas816@correo.com,2024-09-28,activo
116,TI,76730292,Valentina,Ortiz Sanchez,Calle 54 #59-51,Bogota,3778232687,valentina.ortizsanchez469@correo.com,2026-02-09,activo
117,CC,76877552,David,Torres Morales,Calle 16 #106-58,Bogota,3705007456,david.torresmorales362@correo.com,2025-09-25,activo
118,NIT,94649622,Diana,Castro Morales,Calle 9 #111-119,Cali,3190885865,diana.castromorales647@correo.com,2023-08-05,activo
119,CC,28702399,Alejandra,Ramirez Agudelo,Calle 83 #119-10,Bogota,3609313796,alejandra.ramirezagudelo53@correo.com,2025-08-26,activo
120,CC,86094608,Ana,Rojas Castro,Calle 61 #12-103,Bogota,3995265571,ana.rojascastro29@correo.com,2024-07-04,activo
121,CC,47534965,Carlos,Martinez Perez,Calle 61 #32-54,Barranquilla,3566329501,carlos.martinezperez148@correo.com,2024-01-13,activo
122,CC,29083131,Tatiana,Lopez Molina,Calle 119 #7-38,Bogota,3147099923,tatiana.lopezmolina517@correo.com,2024-01-05,activo
123,NIT,34869486,Laura,Restrepo Jimenez,Calle 9 #60-92,Barranquilla,3647655810,,2024-07-14,activo
124,CC,93992859,Andres,Arango Ortiz,Calle 99 #25-50,Medellin,3506768152,andres.arangoortiz776@correo.com,2023-07-30,activo
125,NIT,41772471,Valentina,Ramirez Vargas,Calle 70 #55-101,Bogota,3216716680,valentina.ramirezvargas148@correo.com,2025-03-16,activo
126,CC,76266448,Nicolas,Molina Gomez,Calle 20 #36-24,Manizales,3699837975,nicolas.molinagomez445@correo.com,2024-12-31,activo
127,TI,62797518,Julian,Molina Molina,Calle 30 #66-80,Manizales,3568635021,julian.molinamolina567@correo.com,2025-01-27,activo
128,CC,62935112,Carlos,Castro Bedoya,Calle 106 #28-50,Bogota,3290900454,carlos.castrobedoya175@correo.com,2025-07-26,activo
129,CC,23204901,Nicolas,Martinez Castano,Calle 107 #113-79,Cali,3942376502,nicolas.martinezcastano764@correo.com,2026-03-12,activo
130,CC,84479301,Ana,Lopez Diaz,Calle 70 #16-84,Pasto,3495123866,ana.lopezdiaz329@correo.com,2024-11-04,activo
131,CC,79776974,Catalina,Restrepo Sanchez,Calle 108 #70-117,Manizales,3671240027,catalina.restreposanchez996@correo.com,2025-03-25,activo
132,CE,19342160,Carolina,Diaz Gomez,Calle 84 #24-11,Bogota,3204958916,carolina.diazgomez261@correo.com,2023-08-09,activo
133,TI,83951411,Tatiana,Mejia Agudelo,Calle 34 #23-91,Bogota,3181253408,tatiana.mejiaagudelo167@correo.com,2025-10-15,activo
134,CC,79753599,Isabella,Diaz Gomez,Calle 118 #26-44,Pasto,3945921553,isabella.diazgomez755@correo.com,2025-03-19,activo
135,CC,25852436,Luis,Rodriguez Giraldo,Calle 41 #82-27,Bogota,3836102805,luis.rodriguezgiraldo61@correo.com,2026-04-08,inactivo
136,NIT,71574238,Santiago,Perez Castro,Calle 17 #61-119,Bogota,3306304678,santiago.perezcastro972@correo.com,2024-06-21,activo
137,CC,73784275,Daniel,Cardona Torres,Calle 41 #94-73,Bucaramanga,3938155613,daniel.cardonatorres810@correo.com,2026-01-18,activo
138,CE,88247925,Jorge,Perez Osorio,Calle 33 #5-96,Medellin,3063469671,jorge.perezosorio310@correo.com,2026-05-21,activo
139,CC,25619452,Miguel,Martinez Giraldo,Calle 35 #87-25,Monteria,3912732459,miguel.martinezgiraldo249@correo.com,2026-02-26,activo
140,NIT,38999235,Luisa,Vargas Giraldo,Calle 108 #4-114,Ibague,3114720093,luisa.vargasgiraldo260@correo.com,2026-02-28,activo
141,NIT,75848699,Mateo,Cardona Vargas,Calle 62 #53-39,Barranquilla,3810221709,mateo.cardonavargas511@correo.com,2023-08-10,activo
142,CC,42388841,Carolina,Castro Jimenez,Calle 55 #107-101,Cartagena,3517675052,carolina.castrojimenez288@correo.com,2026-05-08,activo
143,CC,46680310,Nicolas,Restrepo Gomez,Calle 45 #20-51,Bogota,3211540203,nicolas.restrepogomez693@correo.com,2024-03-02,activo
144,CC,12564795,Kevin,Lopez Martinez,Calle 99 #5-11,Medellin,3215048542,kevin.lopezmartinez910@correo.com,2023-12-05,inactivo
145,CC,90186529,Natalia,Martinez Castano,Calle 68 #99-54,Cartagena,3562802803,natalia.martinezcastano341@correo.com,2024-03-03,activo
146,CC,12396379,Sara,Jimenez Garcia,Calle 7 #23-99,Medellin,3363135028,sara.jimenezgarcia363@correo.com,2024-08-07,activo
147,CC,84374795,Nicolas,Sanchez Perez,Calle 50 #67-6,Cali,3588259141,nicolas.sanchezperez180@correo.com,2024-07-15,activo
148,CC,74100007,Andrea,Rodriguez Molina,Calle 43 #62-53,Bogota,3301933618,andrea.rodriguezmolina380@correo.com,2024-04-09,inactivo
149,CC,36854367,Ana,Molina Garcia,Calle 7 #113-48,Bogota,3163799361,ana.molinagarcia464@correo.com,2023-11-23,activo
150,CC,49370328,Nicolas,Mejia Morales,Calle 98 #105-8,Medellin,3094452181,,2023-10-22,inactivo
151,CC,41032696,Santiago,Sanchez Vargas,Calle 17 #31-106,Bogota,3906857722,santiago.sanchezvargas471@correo.com,2025-05-06,activo
152,CC,30694068,Maria,Castano Diaz,Calle 67 #74-71,Barranquilla,3503254896,maria.castanodiaz284@correo.com,2023-12-15,activo
153,CC,27204391,Laura,Torres Mejia,Calle 27 #15-44,Cartagena,3110418886,laura.torresmejia989@correo.com,2024-04-25,activo
154,NIT,32845148,Julian,Hernandez Agudelo,Calle 97 #30-34,Armenia,3540573460,julian.hernandezagudelo247@correo.com,2025-06-17,activo
155,CC,31722879,Juan,Rojas Perez,Calle 42 #25-63,Bogota,3795521991,juan.rojasperez364@correo.com,2025-11-25,suspendido
156,CC,39239519,Tatiana,Perez Perez,Calle 38 #47-25,Santa Marta,3241336524,tatiana.perezperez9@correo.com,2023-12-31,activo
157,CC,84382747,Paola,Quintero Ortiz,Calle 104 #56-118,Medellin,3090912466,paola.quinteroortiz688@correo.com,2023-06-18,activo
158,TI,76812580,Andrea,Diaz Jimenez,Calle 22 #74-90,Bogota,3094314009,andrea.diazjimenez408@correo.com,2024-09-14,activo
159,CC,24058271,Tatiana,Castano Giraldo,Calle 49 #89-85,Pasto,3696081110,tatiana.castanogiraldo97@correo.com,2025-07-23,activo
160,CC,28123328,Luisa,Morales Arango,Calle 48 #38-74,Cartagena,3227786272,luisa.moralesarango925@correo.com,2026-05-20,activo
161,CC,75370989,Manuela,Osorio Agudelo,Calle 87 #88-119,Medellin,3048846367,,2025-05-11,activo
162,NIT,66782371,Luisa,Mejia Morales,Calle 65 #21-38,Medellin,3135293289,luisa.mejiamorales219@correo.com,2023-08-01,activo
163,CC,97345165,Catalina,Gomez Bedoya,Calle 71 #69-90,Bucaramanga,3357740187,catalina.gomezbedoya8@correo.com,2024-09-30,inactivo
164,CC,63793516,Luis,Diaz Rojas,Calle 25 #81-85,Cucuta,3311811638,luis.diazrojas409@correo.com,2024-01-04,activo
165,CC,34015692,Ana,Ortiz Vargas,Calle 58 #102-43,Cali,3659675121,ana.ortizvargas19@correo.com,2023-12-25,activo
166,CC,56303112,Jose,Martinez Morales,Calle 108 #97-75,Cartagena,3069999072,jose.martinezmorales90@correo.com,2024-07-24,activo
167,CC,69247629,Felipe,Agudelo Sanchez,Calle 49 #24-17,Armenia,3192083989,felipe.agudelosanchez989@correo.com,2025-12-14,activo
168,CC,41785348,Carlos,Arango Rodriguez,Calle 48 #69-43,Pereira,3936207384,carlos.arangorodriguez540@correo.com,2024-05-15,inactivo
169,NIT,60875224,Ana,Jimenez Morales,Calle 39 #48-31,Cucuta,3271808090,ana.jimenezmorales120@correo.com,2024-09-10,activo
170,CE,89345948,Alejandra,Vargas Sanchez,Calle 56 #25-32,Medellin,3404873176,alejandra.vargassanchez969@correo.com,2024-10-27,activo
171,CC,17551686,Diana,Garcia Sanchez,Calle 2 #36-119,Medellin,3041887523,diana.garciasanchez355@correo.com,2025-11-04,suspendido
172,CC,68005572,Daniel,Osorio Castro,Calle 41 #85-31,Villavicencio,3479273710,daniel.osoriocastro534@correo.com,2026-01-24,activo
173,CC,70918138,Miguel,Arango Rojas,Calle 20 #18-31,Barranquilla,3688015809,miguel.arangorojas214@correo.com,2025-02-09,activo
174,CC,20001170,Daniel,Hernandez Morales,Calle 45 #87-44,Cali,3460013609,daniel.hernandezmorales555@correo.com,2024-12-01,activo
175,CC,50370359,Julian,Perez Perez,Calle 76 #106-2,Medellin,3452236679,julian.perezperez337@correo.com,2024-01-04,inactivo
176,CC,35260491,Diana,Hernandez Osorio,Calle 43 #115-66,Medellin,3418554285,diana.hernandezosorio35@correo.com,2024-05-24,activo
177,CC,29414381,Ana,Quintero Castano,Calle 110 #71-43,Bucaramanga,3813733079,ana.quinterocastano98@correo.com,2026-01-30,activo
178,CE,50849672,Catalina,Torres Agudelo,Calle 102 #110-12,Santa Marta,3741483327,catalina.torresagudelo230@correo.com,2026-01-11,activo
179,CE,62345519,Luisa,Castro Torres,Calle 90 #116-82,Bucaramanga,3517504076,luisa.castrotorres464@correo.com,2026-03-14,activo
180,CC,84891064,Camilo,Perez Restrepo,Calle 25 #85-10,Cali,3942536836,camilo.perezrestrepo367@correo.com,2024-08-26,activo
181,NIT,24127165,Miguel,Osorio Jimenez,Calle 82 #55-56,Manizales,3325527440,miguel.osoriojimenez956@correo.com,2024-06-29,inactivo
182,CE,61247903,Kevin,Ortiz Gomez,Calle 63 #69-113,Medellin,3169424244,kevin.ortizgomez336@correo.com,2025-03-12,suspendido
183,CE,68618419,Manuela,Gomez Diaz,Calle 63 #63-58,Barranquilla,3858076408,manuela.gomezdiaz51@correo.com,2025-10-11,activo
184,NIT,20863447,Nicolas,Perez Castro,Calle 90 #23-31,Medellin,3064049240,nicolas.perezcastro655@correo.com,2024-10-13,activo
185,NIT,37315941,Sebastian,Hernandez Perez,Calle 86 #99-116,Santa Marta,3300316815,sebastian.hernandezperez187@correo.com,2025-08-01,activo
186,CE,19371594,Sofia,Sanchez Arango,Calle 33 #33-58,Pereira,3247936091,sofia.sanchezarango653@correo.com,2024-04-25,inactivo
187,NIT,87571531,Catalina,Bedoya Torres,Calle 107 #77-75,Barranquilla,3186246300,catalina.bedoyatorres275@correo.com,2025-06-20,activo
188,CC,41946856,Miguel,Morales Ortiz,Calle 43 #19-61,Cali,3814935525,miguel.moralesortiz378@correo.com,2023-06-14,activo
189,CC,27881868,Paola,Mejia Sanchez,Calle 87 #62-42,Armenia,3964593207,paola.mejiasanchez707@correo.com,2024-09-21,inactivo
190,CE,34625505,Tatiana,Diaz Cardona,Calle 17 #12-30,Pasto,3977596199,tatiana.diazcardona221@correo.com,2025-07-31,activo
191,CC,72389753,Kevin,Jimenez Cardona,Calle 52 #14-40,Armenia,3246154966,kevin.jimenezcardona282@correo.com,2026-02-12,activo
192,CC,72154421,Paola,Ortiz Arango,Calle 16 #58-92,Cali,3986900470,paola.ortizarango432@correo.com,2025-08-11,activo
193,CC,88124853,Isabella,Lopez Mejia,Calle 114 #21-70,Medellin,3071345017,isabella.lopezmejia865@correo.com,2024-11-11,activo
194,CC,28689524,Tatiana,Rodriguez Garcia,Calle 88 #21-45,Bogota,3502226284,tatiana.rodriguezgarcia450@correo.com,2026-01-24,activo
195,CC,49204662,Natalia,Quintero Molina,Calle 112 #64-53,Cali,3992290186,natalia.quinteromolina87@correo.com,2023-10-03,activo
196,CC,36856965,Mateo,Mejia Jimenez,Calle 6 #29-48,Bogota,3845316831,mateo.mejiajimenez532@correo.com,2024-08-10,activo
